0,1,2,3,4,5,6
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:23
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:23
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:23
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:23
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:23
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:23
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:23
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:23
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:23
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:23
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:23
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:23
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:23
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:23
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:24
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:24
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:24
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:24
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:24
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:24
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:24
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:24
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:24
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:24
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:24
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:24
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:24
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:25
0.32,0.46,0.65,0.92,1.22,1.49,2021-04-07_15:14:25
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:25
0.32,0.46,0.65,0.92,1.23,1.49,2021-04-07_15:14:25
